Age,Marital,Dducation,Salary,Housing,Contact,Loan
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,school,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
old,married,university,no,yes,telephone,FALSE
